"serial","name","time_start","time_end","venue_serial","event_type","categories","speakers"
"33451","Migrating to the Web Using Dart and Polymer - A Guide for Legacy OOP Developers","2014-07-23 17:00:00","2014-07-23 17:40:00","1458","40-minute conference session","Emerging Languages","149868"
"33457","Refactoring 101","2014-07-23 11:30:00","2014-07-23 12:10:00","1458","40-minute conference session","PHP","169862"
"33463","Open Source and Mobile Development: Where Does it go From Here?","2014-07-23 10:40:00","2014-07-23 11:20:00","1449","40-minute conference session","Mobile Platforms","169870,2216,96208,150073"
"33464","Open Source Protocols and Architectures to Fix the Internet of Things","2014-07-23 16:10:00","2014-07-23 16:50:00","1451","40-minute conference session","Open Hardware","2216"
"33476","Scaling PHP in the Real World!","2014-07-23 14:30:00","2014-07-23 15:10:00","1458","40-minute conference session","PHP","54107"
"33481","API Ecosystem with Scala, Scalatra, and Swagger at Netflix","2014-07-23 17:00:00","2014-07-23 17:40:00","1456","40-minute conference session","Emerging Languages","113667"
"33485","XSS and SQL Injections: The Tip of the Web Security Iceberg ","2014-07-23 16:10:00","2014-07-23 16:50:00","1458","40-minute conference session","PHP","169932"
"33503","Scalable Analytics with R, Hadoop and RHadoop","2014-07-23 14:30:00","2014-07-23 15:10:00","1475","40-minute conference session","Databases & Datastores","126882"
"33520","HA 101 with OpenStack","2014-07-24 10:00:00","2014-07-24 10:40:00","1466","40-minute conference session","Cloud","131499"
"33549","Eyes on IZON: Surveilling IP Camera Security","2014-07-23 14:30:00","2014-07-23 15:10:00","1454","40-minute conference session","Security","170134"
"33557","How to Fake a Database Design","2014-07-22 17:00:00","2014-07-22 17:40:00","1475","40-minute conference session","Databases & Datastores","170158"
"33564","Testing with Test::Class::Moose","2014-07-22 14:30:00","2014-07-22 15:10:00","1465","40-minute conference session","Perl","170158"
"33571","An Elasticsearch Crash Course","2014-07-22 10:40:00","2014-07-22 11:20:00","1475","40-minute conference session","Databases & Datastores","170054"
"33581","Building a Massively Scalable Cloud Service from the Grounds Up","2014-07-22 16:10:00","2014-07-22 16:50:00","1459","40-minute conference session","Cloud","116050"
"33585","Open/Closed Software - Approaches to Developing Freemium Applications","2014-07-22 10:40:00","2014-07-22 11:20:00","1457","40-minute conference session","Business","114822"
"33590","How to Build Reactive Applications","2014-07-23 10:40:00","2014-07-23 11:20:00","1456","40-minute conference session","Java & JVM","170293"
"33596","Designing Irresistible APIs","2014-07-23 16:10:00","2014-07-23 16:50:00","1452","40-minute conference session","Computational Thinking","4265"
"33597","Quantifying your Fitness","2014-07-24 11:50:00","2014-07-24 12:30:00","1475","40-minute conference session","Geek Lifestyle","4265,182808"
"33627","Introduction to Docker: Containerization is the New Virtualization","2014-07-20 13:30:00","2014-07-20 17:00:00","1450","tutorial","Operations & System Administration|Tools & Techniques","5060"
"33631","Mind the Gap: Architecting UIs in the Era of Diverse Devices","2014-07-23 17:00:00","2014-07-23 17:40:00","1449","40-minute conference session","User Experience","108125"
"33648","Devoxx4Kids: So Your Kid Interested in Programming, Robotics, Engineering?","2014-07-22 11:30:00","2014-07-22 12:10:00","1462","40-minute conference session","Education","143377"
"33687","Debugging LAMP Apps on Linux/UNIX Using Open Source Tools","2014-07-20 09:00:00","2014-07-20 12:30:00","1451","tutorial","PHP|Tools & Techniques","171078"
"33689","Forty New Features of Java EE 7 in 40 Minutes","2014-07-22 10:40:00","2014-07-22 11:20:00","1456","40-minute conference session","Java & JVM","143377"
"33704","Building a Recommendation Engine with Spring and Hadoop","2014-07-23 11:30:00","2014-07-23 12:10:00","1456","40-minute conference session","Java & JVM","171147"
"33709","Introduction to Parallel Iterative Deep Learning on Hadoop’s Next​-Generation YARN Framework","2014-07-23 13:40:00","2014-07-23 14:20:00","1452","40-minute conference session","Computational Thinking","171197,171201"
"33727","Open Sourcing Mental Illness","2014-07-22 13:40:00","2014-07-22 14:20:00","1465","40-minute conference session","Geek Lifestyle","1639"
"33733","When PostgreSQL Can&#39;t, You Can","2014-07-24 10:00:00","2014-07-24 10:40:00","1475","40-minute conference session","Databases & Datastores","152242"
"33741","How to Achieve Enterprise Storage Functionality with OpenStack Block Storage","2014-07-22 16:10:00","2014-07-22 16:50:00","1475","40-minute conference session","Databases & Datastores","171381"
"33800","Building Native iOS and Android Apps in Java","2014-07-21 09:00:00","2014-07-21 12:30:00","1456","tutorial","Java & JVM|Mobile Platforms","171418"
"33834","Presentation Aikido","2014-07-20 13:30:00","2014-07-20 17:00:00","1475","tutorial","Education|Geek Lifestyle","4710"
"33839","Everyday Perl 6","2014-07-23 10:40:00","2014-07-23 11:20:00","1465","40-minute conference session","Perl","4710"
"33841","The Conway Channel","2014-07-22 17:00:00","2014-07-22 17:40:00","1465","40-minute conference session","Perl","4710"
"33863","Building a Resilient API with Open Source","2014-07-23 10:40:00","2014-07-23 11:20:00","1452","40-minute conference session","Computational Thinking","109297"
"33875","The Full Stack Java Developer","2014-07-22 11:30:00","2014-07-22 12:10:00","1456","40-minute conference session","Java & JVM|JavaScript - HTML5 - Web","171564,171565"
"33880","How Instagram.com Works","2014-07-22 16:10:00","2014-07-22 16:50:00","1448","40-minute conference session","Main Stage","164756"
"33913","Trolls Aren&#39;t the Only Threat Under the Bridge","2014-07-23 13:40:00","2014-07-23 14:20:00","1457","40-minute conference session","Business|Community","130731"
"33937","Kraken.js - Bringing Open Source to the Enterprise","2014-07-23 10:40:00","2014-07-23 11:20:00","1457","40-minute conference session","Business","80689"
"33943","You Don&#39;t Know How Your Computer Works","2014-07-22 16:10:00","2014-07-22 16:50:00","1466","40-minute conference session","Operations & System Administration","6852"
"33945","Leaflet, Node.JS, and MongoDB for an Easy and Fun Web Mapping Experience","2014-07-24 10:00:00","2014-07-24 10:40:00","1450","40-minute conference session","JavaScript - HTML5 - Web","142320"
"33947","The Simplicity of Clojure","2014-07-20 09:00:00","2014-07-20 12:30:00","1456","tutorial","Emerging Languages|Java & JVM","137149,171822"
"33950","There *Will* Be Bugs","2014-07-23 14:30:00","2014-07-23 15:10:00","1465","40-minute conference session","Python","3471,5199"
"33973","Apache Cordova: Past, Present and Future","2014-07-24 10:00:00","2014-07-24 10:40:00","1449","40-minute conference session","Mobile Platforms","96208"
"33978","WITH what? CTEs For Fun And Profit","2014-07-23 13:40:00","2014-07-23 14:20:00","1466","40-minute conference session","Databases & Datastores","25862"
"33994","Rebooting Open Source at Facebook","2014-07-23 14:30:00","2014-07-23 15:10:00","1448","40-minute conference session","Main Stage","118233"
"33997","CERN&#39;s Approach to Mass and Agility","2014-07-23 17:00:00","2014-07-23 17:40:00","1459","40-minute conference session","Cloud","170052"
"34005","Let Them Be Your Heroes","2014-07-24 10:00:00","2014-07-24 10:40:00","1464","40-minute conference session","Community","144736"
"34012","A Presentation Toolbox that Just Might Blow Your Audience Away","2014-07-24 11:50:00","2014-07-24 12:30:00","1450","40-minute conference session","Geek Lifestyle","131884"
"34018","Raspberry Pi Hacks","2014-07-22 13:40:00","2014-07-22 14:20:00","1451","40-minute conference session","Open Hardware","108840"
"34019","From Cloud to Fog Computing and the Internet of Things","2014-07-23 13:40:00","2014-07-23 14:20:00","1449","40-minute conference session","Mobile Platforms","172370"
"34026","The Accidental DBA","2014-07-21 13:30:00","2014-07-21 17:00:00","1475","tutorial","Databases & Datastores|Operations & System Administration","3397"
"34037","Distributed Robots with Elixir","2014-07-23 10:40:00","2014-07-23 11:20:00","1451","40-minute conference session","Open Hardware","172532,172534"
"34040","What is Async, How Does it Work, and When Should I Use it?","2014-07-24 11:00:00","2014-07-24 11:40:00","1458","40-minute conference session","Python","172536"
"34047","Go for Object Oriented Programmers (or OO Programming without Objects) ","2014-07-23 16:10:00","2014-07-23 16:50:00","1465","40-minute conference session","Emerging Languages","142995"
"34056","Unicorns, Dragons, Open Source Business Models And Other Mythical Creatures","2014-07-22 14:30:00","2014-07-22 15:10:00","1448","40-minute conference session","Main Stage","172569"
"34063","Tutorial: Node.js Three Ways","2014-07-21 13:30:00","2014-07-21 17:00:00","1452","tutorial","Emerging Languages|JavaScript - HTML5 - Web","141235,147649"
"34064","Node.js Patterns for the Discerning Developer","2014-07-22 10:40:00","2014-07-22 11:20:00","1450","40-minute conference session","JavaScript - HTML5 - Web","141235"
"34075","Druid: Interactive Queries Meet Real-time Data","2014-07-23 11:30:00","2014-07-23 12:10:00","1475","40-minute conference session","Databases & Datastores","172607"
"34076","Real-time Analytics with Open Source Technologies","2014-07-23 10:40:00","2014-07-23 11:20:00","1475","40-minute conference session","Databases & Datastores","153565,153566"
"34078","Moose is Perl: A Guide to the New Revolution","2014-07-21 09:00:00","2014-07-21 12:30:00","1457","tutorial","Perl","3189"
"34081","Debugging HTTP","2014-07-22 11:30:00","2014-07-22 12:10:00","1454","40-minute conference session","Tools & Techniques","45968"
"34083","Creating Models","2014-07-22 11:30:00","2014-07-22 12:10:00","1458","40-minute conference session","PHP","46440"
"34087","Incorporating Your Passions into Open Source Hardware ","2014-07-23 13:40:00","2014-07-23 14:20:00","1451","40-minute conference session","Open Hardware","133377"
"34093","Tsuru: Open Source Cloud Application Platform","2014-07-22 17:00:00","2014-07-22 17:40:00","1459","40-minute conference session","Cloud","151991"
"34094","Tracing and Profiling Java (and Native) Applications in Production","2014-07-22 14:30:00","2014-07-22 15:10:00","1456","40-minute conference session","Java & JVM","172240"
"34095","Get Started Developing with Scala","2014-07-20 13:30:00","2014-07-20 17:00:00","1449","tutorial","Computational Thinking|Java & JVM","171226,150440"
"34103","Reactive All The Way Down","2014-07-21 09:00:00","2014-07-21 12:30:00","1471","tutorial","Java & JVM|JavaScript - HTML5 - Web","1158"
"34104","Building Modern Web Apps with Play Framework and Scala","2014-07-23 14:30:00","2014-07-23 15:10:00","1456","40-minute conference session","Java & JVM","1158"
"34107","Full Monty: Intro to Python Metaprogramming","2014-07-21 13:30:00","2014-07-21 17:00:00","1451","tutorial","Python","150170"
"34108","Idiomatic APIs with the Python Data Model","2014-07-24 10:00:00","2014-07-24 10:40:00","1465","40-minute conference session","Python","150170"
"34109","Data.gov: Open Government as Open Source","2014-07-23 13:40:00","2014-07-23 14:20:00","1475","40-minute conference session","Databases & Datastores","62631"
"34112","Python: Encapsulation with Descriptors","2014-07-24 11:00:00","2014-07-24 11:40:00","1465","40-minute conference session","Python","150170"
"34116","Choosing a caching HTTP proxy","2014-07-23 16:10:00","2014-07-23 16:50:00","1450","40-minute conference session","Operations & System Administration","63576"
"34117","Git for Grown-ups","2014-07-22 10:40:00","2014-07-22 11:20:00","1454","40-minute conference session","Tools & Techniques","4146"
"34125","How Open Source Powers Facebook on Android","2014-07-23 11:30:00","2014-07-23 12:10:00","1454","40-minute conference session","Tools & Techniques","172656"
"34135","Design for Life","2014-07-22 13:40:00","2014-07-22 14:20:00","1462","40-minute conference session","User Experience","44753"
"34136","Shipping Applications to Production in Containers with Docker","2014-07-22 13:40:00","2014-07-22 14:20:00","1466","40-minute conference session","Operations & System Administration","151611"
"34137","Is it Safe to Run Applications in Linux Containers?","2014-07-22 11:30:00","2014-07-22 12:10:00","1466","40-minute conference session","Operations & System Administration","151611"
"34145","DevOps for University Students","2014-07-24 10:00:00","2014-07-24 10:40:00","1462","40-minute conference session","Operations & System Administration","29558,123516"
"34148","Protocols for the Internet of Things","2014-07-22 11:30:00","2014-07-22 12:10:00","1451","40-minute conference session","Open Hardware","172751"
"34156","REST: It&#39;s not just for servers","2014-07-22 10:40:00","2014-07-22 11:20:00","1449","40-minute conference session","Tools & Techniques","151665"
"34159","Big Data Pipeline and Analytics Platform using NetflixOSS and Other Open Source Libraries","2014-07-24 11:00:00","2014-07-24 11:40:00","1452","40-minute conference session","Computational Thinking","172661,171450"
"34162","Application Deployment and Auto-scaling On OpenStack using Heat ","2014-07-23 11:30:00","2014-07-23 12:10:00","1466","40-minute conference session","Operations & System Administration","33987"
"34164","Timeseries Data Superpowers: Intuitive Understanding of FIR Filtering and Fourier Transforms","2014-07-22 17:00:00","2014-07-22 17:40:00","1452","40-minute conference session","Computational Thinking","172201"
"34176","Functional Vaadin","2014-07-22 16:10:00","2014-07-22 16:50:00","1456","40-minute conference session","Java & JVM","120866"
"34187","Continuous Delivery","2014-07-21 13:30:00","2014-07-21 17:00:00","1450","tutorial","Business|Tools & Techniques","2650"
"34188","Community War Stories : Squaring the Circle between Business and Community","2014-07-22 17:00:00","2014-07-22 17:40:00","1464","40-minute conference session","Business|Community","62981"
"34192","Functional Thinking","2014-07-22 11:30:00","2014-07-22 12:10:00","1452","40-minute conference session","Computational Thinking","2650"
"34194","The Curious Clojureist","2014-07-23 13:40:00","2014-07-23 14:20:00","1456","40-minute conference session","Emerging Languages","2650"
"34198","Syncing Async","2014-07-22 16:10:00","2014-07-22 16:50:00","1450","40-minute conference session","JavaScript - HTML5 - Web","74368"
"34201","Map, Flatmap and Reduce are Your New Best Friends: Simpler Collections, Concurrency, and Big Data","2014-07-24 11:50:00","2014-07-24 12:30:00","1452","40-minute conference session","Computational Thinking","11886"
"34203","Creating Awesome Web APIs is a Breeze","2014-07-23 13:40:00","2014-07-23 14:20:00","1458","40-minute conference session","PHP","172864"
"34208","Git for Teams of One or More","2014-07-21 09:00:00","2014-07-21 12:30:00","1452","tutorial","Community|Tools & Techniques","4146"
"34212","Telling Technology Stories with IPython Notebook","2014-07-23 13:40:00","2014-07-23 14:20:00","1465","40-minute conference session","Python","59574"
"34224","Accessibility and Security - For Everyone. Gotchas to avoid.","2014-07-23 13:40:00","2014-07-23 14:20:00","1462","40-minute conference session","Security|User Experience","172899"
"34232","AngularJS Tutorial","2014-07-20 13:30:00","2014-07-20 17:00:00","1452","tutorial","JavaScript - HTML5 - Web|Tools & Techniques","171372"
"34236","JavaScript and Internet Controlled Hardware Prototyping","2014-07-22 17:00:00","2014-07-22 17:40:00","1451","40-minute conference session","Open Hardware","74565"
"34238","No More Whiteboard: Hiring Processes that Don&#39;t Waste Time","2014-07-22 16:10:00","2014-07-22 16:50:00","1457","40-minute conference session","Business","155107"
"34243","Monitoring Your Drone Project with Elasticsearch","2014-07-22 11:30:00","2014-07-22 12:10:00","1475","40-minute conference session","Databases & Datastores","172929,142336"
"34244","Grow Your Community with Events","2014-07-22 14:30:00","2014-07-22 15:10:00","1464","40-minute conference session","Community","142767"
"34247","Community Management Training","2014-07-21 09:00:00","2014-07-21 17:00:00","1454","tutorial","Community","108813"
"34248","Dealing With Disrespect","2014-07-23 14:30:00","2014-07-23 15:10:00","1464","40-minute conference session","Community","108813"
"34252","Zero to Cloud with @NetflixOSS","2014-07-21 09:00:00","2014-07-21 12:30:00","1449","tutorial","Cloud|Operations & System Administration","172610"
"34254","Hands-On Data Analysis with Python","2014-07-21 13:30:00","2014-07-21 17:00:00","1449","tutorial","Python|Tools & Techniques","170237"
"34255","Analyzing Data with Python","2014-07-23 14:30:00","2014-07-23 15:10:00","1459","40-minute conference session","Python","170237"
"34258","Crash Course in Tech Management","2014-07-23 14:30:00","2014-07-23 15:10:00","1457","40-minute conference session","Business|Community","131404"
"34260","How We Went Remote","2014-07-22 17:00:00","2014-07-22 17:40:00","1448","40-minute conference session","Main Stage","131404"
"34267","A Quick Introduction to System Tools Programming with Go","2014-07-21 13:30:00","2014-07-21 17:00:00","1457","tutorial","Operations & System Administration|Tools & Techniques","172994"
"34273","SWI-Prolog for the Real World","2014-07-22 17:00:00","2014-07-22 17:40:00","1454","40-minute conference session","Emerging Languages","172986"
"34274","Arduino + Furby Broken Build Notification - Oh, You&#39;ll Want to Fix it Quick!","2014-07-24 11:50:00","2014-07-24 12:30:00","1448","40-minute conference session","Main Stage|Open Hardware","99280"
"34275","PHP Development for Google Glass using Phass","2014-07-22 16:10:00","2014-07-22 16:50:00","1458","40-minute conference session","Mobile Platforms|PHP","6894"
"34280","Portable Logic/Native UI","2014-07-23 16:10:00","2014-07-23 16:50:00","1449","40-minute conference session","Mobile Platforms","109468"
"34281","Erlang, LFE, Joxa and Elixir: Established and Emerging Languages in the Erlang Ecosystem","2014-07-23 16:10:00","2014-07-23 16:50:00","1456","40-minute conference session","Emerging Languages","172990"
"34283","Obey the Testing Goat!  TDD for Web Development with Python","2014-07-21 09:00:00","2014-07-21 12:30:00","1450","tutorial","JavaScript - HTML5 - Web|Python|Tools & Techniques","173004"
"34285","Idioms for Building Distributed Fault-tolerant Applications with Elixir","2014-07-23 17:00:00","2014-07-23 17:40:00","1454","40-minute conference session","Emerging Languages","76735"
"34289","Lessons from Girl Develop It: Getting More Women Involved in Open Source","2014-07-23 10:40:00","2014-07-23 11:20:00","1462","40-minute conference session","Community|Education","169992,173025"
"34293","Performing High-Performance Parallel Data Fetching in PHP","2014-07-22 13:40:00","2014-07-22 14:20:00","1458","40-minute conference session","PHP","86090"
"34299","Painless Data Storage with MongoDB and Go","2014-07-22 13:40:00","2014-07-22 14:20:00","1475","40-minute conference session","Databases & Datastores","142995,173035"
"34314","Developing Micro-services with Java and Spring","2014-07-24 10:00:00","2014-07-24 10:40:00","1458","40-minute conference session","Java & JVM|Tools & Techniques","171565"
"34327","Embedding Node.js into a High-performance Network Datapath","2014-07-23 11:30:00","2014-07-23 12:10:00","1450","40-minute conference session","JavaScript - HTML5 - Web","173056"
"34329","Static Web Rising","2014-07-22 11:30:00","2014-07-22 12:10:00","1450","40-minute conference session","JavaScript - HTML5 - Web","2593"
"34332","Global Scaling at the New York Times using RabbitMQ ","2014-07-22 10:40:00","2014-07-22 11:20:00","1459","40-minute conference session","Cloud","112672,172658"
"34336","One Hat, Two Hats - How to Handle Open Source and Work","2014-07-22 11:30:00","2014-07-22 12:10:00","1464","40-minute conference session","Community","39928"
"34356","Making Money at Open Source without Losing Your Soul - A Practical Guide","2014-07-22 13:40:00","2014-07-22 14:20:00","1457","40-minute conference session","Business","152376"
"34362","Money for Nothing and Your Downloads for Free","2014-07-23 13:40:00","2014-07-23 14:20:00","1464","40-minute conference session","Community","29591,28902,173340"
"34371","A Recovering Java Developer Learns to Go","2014-07-22 13:40:00","2014-07-22 14:20:00","1461","40-minute conference session","Emerging Languages|Java & JVM","173088"
"34374","CSS: Declarative Nonsense Made Sensible","2014-07-22 13:40:00","2014-07-22 14:20:00","1450","40-minute conference session","JavaScript - HTML5 - Web","173093"
"34377","NASA Open Source Projects for Science and Exploration","2014-07-23 11:30:00","2014-07-23 12:10:00","1459","40-minute conference session","Cloud","173111"
"34378","WeIO Platform for Internet of Things","2014-07-24 11:00:00","2014-07-24 11:40:00","1451","40-minute conference session","Open Hardware","173105"
"34383","Getting Started with Scalding, Twitter&#39;s High-level Scala API for Hadoop MapReduce","2014-07-21 13:30:00","2014-07-21 17:00:00","1471","tutorial","Databases & Datastores|Java & JVM","90628"
"34394","Just My Type","2014-07-22 10:40:00","2014-07-22 11:20:00","1465","40-minute conference session","Perl","75349"
"34395","Getting Started with Go","2014-07-21 09:00:00","2014-07-21 12:30:00","1475","tutorial","Emerging Languages","142995"
"34407","Big Data Analysis 0-60 in 90 days","2014-07-24 10:00:00","2014-07-24 10:40:00","1456","40-minute conference session","Databases & Datastores","173146,94695"
"34414","Train Spotting with Raspberry Pi and Data Science","2014-07-23 14:30:00","2014-07-23 15:10:00","1451","40-minute conference session","Open Hardware","171621,133624"
"34422","Mesos: Elastically Scalable Operations, Simplified","2014-07-23 14:30:00","2014-07-23 15:10:00","1466","40-minute conference session","Cloud|Operations & System Administration","172898,171598"
"34430","How Does Raleigh Use Open Source?","2014-07-22 14:30:00","2014-07-22 15:10:00","1457","40-minute conference session","Business|Community","156534,173173"
"34431","Neo4j 2.0 Intro Training","2014-07-21 13:30:00","2014-07-21 17:00:00","1470","tutorial","Databases & Datastores","159719"
"34432","Mesos: An SDK for Distributed Systems Developers","2014-07-20 13:30:00","2014-07-20 17:00:00","1456","tutorial","Cloud|Tools & Techniques","172973,171598,172898"
"34434","Hacking Lessons: Which Micro-Controller Board Do I Use?","2014-07-24 10:00:00","2014-07-24 10:40:00","1451","40-minute conference session","Open Hardware","77350"
"34442","Perl 5.20: Perl 5 at 20","2014-07-22 11:30:00","2014-07-22 12:10:00","1465","40-minute conference session","Perl","3189"
"34447","HTML Canvas Deep Dive","2014-07-20 09:00:00","2014-07-20 12:30:00","1449","tutorial","JavaScript - HTML5 - Web","6931"
"34450","Bluetooth Low Energy: Big Progress for Small Consumption!","2014-07-22 14:30:00","2014-07-22 15:10:00","1451","40-minute conference session","Open Hardware","6931"
"34451","Netflix API : Top 10 Lessons Learned","2014-07-23 10:40:00","2014-07-23 11:20:00","1459","40-minute conference session","Cloud","173189"
"34458","Start a Free Coding Club for Kids","2014-07-22 14:30:00","2014-07-22 15:10:00","1462","40-minute conference session","Education","171495"
"34459","“Unfortunately, Design Tutorial Has Stopped”, and Other Ways to Infuriate People With Mobile Apps","2014-07-21 09:00:00","2014-07-21 12:30:00","1451","tutorial","Mobile Platforms|User Experience","108884,118998,109468"
"34461","How Do I Game Design?","2014-07-22 14:30:00","2014-07-22 15:10:00","1450","40-minute conference session","User Experience","108884,118998"
"34462","The Case for Haskell","2014-07-22 17:00:00","2014-07-22 17:40:00","1462","40-minute conference session","Emerging Languages","155881"
"34463","GitGot: The Swiss Army Chainsaw of Git Repo Management","2014-07-22 13:40:00","2014-07-22 14:20:00","1454","40-minute conference session","Tools & Techniques","173201"
